Case_ID,Arrival_Time,Completion_Time,Duration_Minutes,Complexity,Team,Assigned_Staff,SLA_Limit_Minutes,SLA_Breached
CASE-10513,2025-11-21 00:57:50.152979,2025-11-21 02:20:44.000127,82.9,Medium,Approval_Board,Staff_16,180,0
CASE-11420,2025-11-21 01:42:11.801505,2025-11-21 02:38:19.286041,56.12,Medium,Audit_Section,Staff_11,180,0
CASE-10716,2025-11-21 01:54:42.749873,2025-11-21 03:03:07.880441,68.42,Medium,Review_Team,Staff_20,180,0
CASE-10033,2025-11-21 02:11:56.401204,2025-11-21 02:55:37.479456,43.68,Simple,Intake_Team,Staff_6,60,0
CASE-10691,2025-11-21 02:30:57.250340,2025-11-21 04:09:28.469027,98.52,Medium,Approval_Board,Staff_15,180,0
CASE-11664,2025-11-21 02:42:27.838707,2025-11-21 03:10:27.638954,28.0,Simple,Audit_Section,Staff_11,60,0
CASE-10467,2025-11-21 03:12:26.022405,2025-11-21 04:36:11.705112,83.76,Medium,Audit_Section,Staff_21,180,0
CASE-11382,2025-11-21 03:21:00.360817,2025-11-21 11:24:33.039392,483.54,Critical,Intake_Team,Staff_2,1440,0
CASE-11185,2025-11-21 03:26:23.483209,2025-11-21 03:41:12.177454,14.81,Simple,Intake_Team,Staff_4,60,0
CASE-10427,2025-11-21 03:45:31.882982,2025-11-21 04:05:43.271331,20.19,Simple,Audit_Section,Staff_17,60,0
CASE-11060,2025-11-21 03:49:37.660262,2025-11-21 04:12:25.487095,22.8,Simple,Review_Team,Staff_25,60,0
CASE-11393,2025-11-21 04:05:42.906387,2025-11-21 04:31:41.548122,25.98,Simple,Approval_Board,Staff_20,60,0
CASE-11992,2025-11-21 04:24:27.071583,2025-11-21 08:54:18.955312,269.86,Complex,Audit_Section,Staff_15,480,0
CASE-11619,2025-11-21 04:28:57.060786,2025-11-21 05:09:22.151473,40.42,Simple,Approval_Board,Staff_18,60,0
CASE-10786,2025-11-21 04:30:27.451148,2025-11-21 04:49:27.328564,19.0,Simple,Intake_Team,Staff_22,60,0
CASE-10166,2025-11-21 04:38:28.079595,2025-11-21 05:35:02.041952,56.57,Medium,Approval_Board,Staff_20,180,0
CASE-10640,2025-11-21 04:45:20.082344,2025-11-21 06:26:39.206401,101.32,Medium,Approval_Board,Staff_25,180,0
CASE-10615,2025-11-21 05:05:25.359540,2025-11-21 06:19:06.674565,73.69,Medium,Intake_Team,Staff_5,180,0
CASE-10430,2025-11-21 06:20:36.180360,2025-11-21 06:56:03.506573,35.46,Simple,Intake_Team,Staff_3,60,0
CASE-11944,2025-11-21 06:24:40.992926,2025-11-21 06:53:28.527850,28.79,Simple,Review_Team,Staff_4,60,0
CASE-10030,2025-11-21 06:26:19.770145,2025-11-21 10:22:15.550452,235.93,Complex,Approval_Board,Staff_22,480,0
CASE-10819,2025-11-21 06:32:38.009410,2025-11-21 07:46:23.278400,73.75,Medium,Audit_Section,Staff_8,180,0
CASE-10218,2025-11-21 06:33:13.217653,2025-11-21 07:05:26.738937,32.23,Simple,Audit_Section,Staff_4,60,0
CASE-10653,2025-11-21 06:52:34.789988,2025-11-21 09:43:26.143494,170.86,Complex,Review_Team,Staff_7,480,0
CASE-11727,2025-11-21 07:10:54.004797,2025-11-21 07:46:59.655225,36.09,Simple,Intake_Team,Staff_4,60,0
CASE-10720,2025-11-21 07:50:16.164266,2025-11-21 14:04:59.741467,374.73,Critical,Review_Team,Staff_17,1440,0
